frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
105,1,1,0,1,1.0,0.096,281.307,239.144,45.4795,45.581,1.74877,91.0605,-0.039857140243473387,0.022527393708748684,0.9864696740949693,0.987531514942552,0.013530325905030671,0.01246848505744802,,1,190.0
106,1,1,0,1,1.0,0.096,281.469,239.167,45.4842,45.5815,1.72679,91.0657,-0.03968408653467563,0.022550227557036413,0.9864133450676265,0.9874687978941259,0.013586654932373543,0.012531202105874106,,1,150.0
107,1,1,0,1,1.0,0.096,281.419,239.196,45.4197,45.5831,1.93121,91.0028,-0.03976426130999059,0.022596247438766044,0.9870951416651461,0.9881541405948658,0.012904858334853886,0.011845859405134163,,1,110.0
108,1,1,0,1,1.0,0.096,281.422,239.174,45.538,45.6302,1.16663,91.1682,-0.039688960834378735,0.02253220711374846,0.9853043249502015,0.9863607487806385,0.014695675049798518,0.013639251219361492,,1,190.0
109,1,1,0,1,1.0,0.096,281.255,239.147,45.4541,45.6343,1.90591,91.0884,-0.03989973607112224,0.022523638990175718,0.9861675225157646,0.9872313233061368,0.01383247748423544,0.012768676693863168,,1,160.0
110,1,1,0,1,1.0,0.096,281.655,239.335,45.505,45.5523,1.89094,91.0573,-0.03949165107180657,0.02272850638405435,0.9865043413095376,0.9875560697648473,0.013495658690462431,0.012443930235152667,,1,140.0
111,1,1,0,1,1.0,0.096,281.397,239.17,45.4396,45.5956,1.97155,91.0351,-0.039773352466694833,0.02256095462758895,0.9867449122143542,0.9878038459234008,0.01325508778564577,0.012196154076599242,,1,160.0
112,1,1,0,1,1.0,0.096,281.469,239.031,45.446,45.5993,1.82231,91.0453,-0.03969297832113037,0.02241262451410245,0.9866343650679932,0.9876868069376719,0.01336563493200682,0.012313193062328143,,1,250.0
113,1,1,0,1,1.0,0.096,281.303,239.171,45.4214,45.5634,1.80197,90.9849,-0.039894478305090304,0.02257445204215675,0.9872893387575846,0.9883528791421754,0.012710661242415378,0.0116471208578246,,1,120.0
114,1,1,0,1,1.0,0.096,281.636,239.338,45.456,45.5826,1.67891,91.0386,-0.03951979840574006,0.022736322036388566,0.9867069765783409,0.9877597949067087,0.013293023421659056,0.012240205093291268,,1,200.0
115,1,1,0,1,1.0,0.096,281.383,239.143,45.4751,45.5885,2.11353,91.0635,-0.03977570727174787,0.02252560283563782,0.9864371757940882,0.9874957273126267,0.013562824205911816,0.012504272687373308,,1,260.0
116,1,1,0,1,1.0,0.096,281.701,239.271,45.4851,45.5437,1.81171,91.0288,-0.03945550330379844,0.022668478117374588,0.9868132037105285,0.9878617796324296,0.013186796289471503,0.012138220367570396,,1,260.0
117,1,1,0,1,1.0,0.096,281.312,239.188,45.4643,45.5389,2.20255,91.0033,-0.039876917860569995,0.022587727900870654,0.9870897182621395,0.988153068066184,0.012910281737860463,0.01184693193381603,,1,210.0
118,1,1,0,1,1.0,0.096,281.435,239.148,45.3587,45.5739,1.91403,90.9326,-0.03977806770224111,0.022563280262360548,0.9878571794705635,0.9889151648740447,0.012142820529436493,0.011084835125955261,,1,270.0
119,1,1,0,1,1.0,0.096,281.303,239.126,45.4583,45.5416,1.91959,90.9999,-0.03988790228495647,0.022523505157173034,0.9871265985778551,0.9881888861210418,0.012873401422144881,0.011811113878958168,,1,250.0
120,1,1,0,1,1.0,0.096,281.375,239.118,45.4421,45.5887,1.71138,91.0308,-0.039798432169560305,0.022507466802587632,0.9867915228463878,0.9878501965513383,0.013208477153612175,0.012149803448661678,,1,110.0
